2025-06-26 19:26:15 | INFO     | root | [INIT] Logging system initialized
2025-06-26 19:26:15 | INFO     | __main__ | [START] Starting Bybit Trading Bot server...
2025-06-26 19:26:15 | INFO     | root | [INIT] Logging system initialized
2025-06-26 19:26:15 | INFO     | backend.main | [START] Bybit Trading Bot starting up...
2025-06-26 19:26:15 | INFO     | backend.integrations.bybit_client | 🔗 Initializing Bybit client...
2025-06-26 19:26:17 | INFO     | backend.integrations.bybit_client | ✅ Connected to Bybit testnet
2025-06-26 19:26:17 | INFO     | backend.core.strategy_manager | StrategyManager инициализирован с режимом: medium
2025-06-26 19:26:17 | INFO     | backend.main | [WS] WebSocket логирование настроено
2025-06-26 19:26:17 | INFO     | backend.main | [TASK] Фоновая задача broadcast_live_data запущена
2025-06-26 19:26:17 | INFO     | backend.main | [OK] Trading Bot initialized successfully
2025-06-26 19:26:25 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-26 19:26:25 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 5410.39098765}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-26 19:26:25 | INFO     | backend.api.rest_api | 📊 Получение сигналов для BTCUSDT в режиме medium на таймфрейме 15m
2025-06-26 19:26:25 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 15
2025-06-26 19:26:25 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:25 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:26 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:26 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 15
2025-06-26 19:26:26 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:26 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:27 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:28 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:28 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:28 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:30 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:31 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:31 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-26 19:26:31 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-26 19:26:32 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:32 | INFO     | backend.core.strategy_manager | Обновление индикаторов для режима Агрессивный
2025-06-26 19:26:32 | INFO     | backend.core.strategy_manager | Индикаторы: ['rsi', 'ema', 'macd', 'volume', 'atr']
2025-06-26 19:26:32 | INFO     | backend.core.strategy_manager | Торговый режим изменен: medium → aggressive
2025-06-26 19:26:32 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-26 19:26:33 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 5410.39098765}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-26 19:26:33 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-06-26 19:26:33 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-06-26 19:26:33 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-26 19:26:33 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-06-26 19:26:33 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-26 19:26:34 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-26 19:26:34 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 5
2025-06-26 19:26:34 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-26 19:26:34 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-06-26 19:26:34 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-26 19:26:34 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-06-26 19:26:34 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 5
