2025-06-27 08:35:08 | INFO     | root | [INIT] Logging system initialized
2025-06-27 08:35:08 | INFO     | __main__ | [START] Starting Bybit Trading Bot server...
2025-06-27 08:35:08 | INFO     | root | [INIT] Logging system initialized
2025-06-27 08:35:08 | INFO     | backend.main | [START] Bybit Trading Bot starting up...
2025-06-27 08:35:08 | INFO     | backend.integrations.bybit_client | 🔗 Initializing Bybit client...
2025-06-27 08:35:09 | INFO     | backend.integrations.bybit_client | ✅ Connected to Bybit testnet
2025-06-27 08:35:09 | INFO     | backend.core.strategy_manager | StrategyManager инициализирован с режимом: medium
2025-06-27 08:35:09 | INFO     | backend.main | [WS] WebSocket логирование настроено
2025-06-27 08:35:09 | INFO     | backend.main | [TASK] Фоновая задача broadcast_live_data запущена
2025-06-27 08:35:09 | INFO     | backend.main | [OK] Trading Bot initialized successfully
2025-06-27 08:35:11 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-27 08:35:11 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 5405.11140552}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-27 08:35:11 | INFO     | backend.api.rest_api | 📊 Получение сигналов для BTCUSDT в режиме medium на таймфрейме 15m
2025-06-27 08:35:11 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 15
2025-06-27 08:35:11 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:11 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:12 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:12 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 15
2025-06-27 08:35:12 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:12 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:13 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:13 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:13 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:14 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:15 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:16 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:17 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:18 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:18 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-06-27 08:35:18 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-06-27 08:35:18 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 5405.11140552}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-06-27 08:35:19 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-27 08:35:19 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 5
2025-06-27 08:35:19 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-06-27 08:35:19 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-27 08:35:20 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-06-27 08:35:20 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 5
